cliente_id,nome,cpf,dataNascimento,cidade,estado,segmento,dataCadastro
CLI0001,Henrique Rodrigues,001.854.204-96,1967-10-19,Rio de Janeiro,RJ,Universitário,2018-05-11
CLI0002,Caio Rocha,002.529.325-67,1984-12-15,Brasília,DF,Varejo,2019-10-16
CLI0003,Enzo Costa,003.204.194-58,1968-09-04,Recife,PE,Private,2021-11-09
CLI0004,Sabrina Gomes,004.949.743-89,1992-06-11,Fortaleza,CE,Premium,2025-11-25
CLI0005,Carla Pereira,005.987.203-58,1984-12-08,Rio de Janeiro,RJ,Universitário,2025-02-16
CLI0006,Vanessa Ferreira,006.646.846-41,1974-08-29,Salvador,BA,Universitário,2022-04-04
CLI0007,Bruna Costa,007.963.886-17,1980-07-19,Porto Alegre,RS,Varejo,2021-07-16
CLI0008,Gabriela Melo,008.505.758-68,1972-10-25,Campinas,SP,Private,2019-07-26
CLI0009,Débora Dias,009.538.697-61,1992-06-22,Curitiba,PR,Premium,2019-07-21
CLI0010,Aline Ferreira,010.911.796-64,1965-09-12,São Paulo,SP,Universitário,2022-04-13
CLI0011,Sabrina Silva,011.796.838-24,1983-12-09,Campinas,SP,Private,2019-04-02
CLI0012,Rafael Ferreira,012.619.208-90,1986-10-10,São Paulo,SP,Premium,2019-09-19
CLI0013,Vanessa Costa,013.600.119-24,1992-07-25,Salvador,BA,Private,2020-09-07
CLI0014,Enzo Rocha,014.884.228-26,2002-08-22,Rio de Janeiro,RJ,Premium,2020-12-21
CLI0015,Gabriela Rocha,015.873.847-98,1978-01-17,Brasília,DF,Private,2022-06-23
CLI0016,Daniel Pereira,016.330.165-53,1961-11-20,Fortaleza,CE,Premium,2024-08-07
CLI0017,Carla Santos,017.980.438-19,1981-05-08,Curitiba,PR,Private,2025-07-03
CLI0018,Fernanda Carvalho,018.294.196-22,1998-09-02,Campinas,SP,Private,2022-10-01
CLI0019,Bruno Martins,019.845.447-23,1982-04-22,Recife,PE,Premium,2020-02-19
CLI0020,Otávio Rocha,020.200.151-93,1961-04-28,Belo Horizonte,MG,Varejo,2020-08-26
CLI0021,Helena Martins,021.160.268-58,1960-03-11,Belo Horizonte,MG,Universitário,2020-12-22
CLI0022,Eduarda Almeida,022.403.322-17,1965-06-20,Porto Alegre,RS,Private,2018-08-23
CLI0023,Bruno Barbosa,023.182.971-33,1966-02-23,São Paulo,SP,Varejo,2025-07-28
