cliente_id,email_id,endereco,dominio,desde
CLI0001,EM0001,henrique.rodrigues890@hotmail.com,hotmail.com,2019-12-08
CLI0002,EM0002,caio.rocha574@yahoo.com.br,yahoo.com.br,2021-06-21
CLI0003,EM0003,enzo.costa980@yahoo.com.br,yahoo.com.br,2020-08-20
CLI0004,EM0004,sabrina.gomes845@outlook.com,outlook.com,2024-08-15
CLI0005,EM0087,otávio.ribeiro604@gmail.com,gmail.com,2021-11-11
CLI0006,EM0006,vanessa.ferreira204@uol.com.br,uol.com.br,2024-07-15
CLI0007,EM0007,bruna.costa216@yahoo.com.br,yahoo.com.br,2023-04-04
CLI0008,EM0008,gabriela.melo848@outlook.com,outlook.com,2025-01-29
CLI0009,EM0009,débora.dias908@hotmail.com,hotmail.com,2024-04-06
CLI0010,EM0010,aline.ferreira459@outlook.com,outlook.com,2020-09-08
CLI0011,EM0103,nicolas.souza449@gmail.com,gmail.com,2025-02-11
CLI0012,EM0110,vanessa.lima658@hotmail.com,hotmail.com,2018-07-21
CLI0013,EM0013,vanessa.costa776@yahoo.com.br,yahoo.com.br,2018-10-23
CLI0014,EM0014,enzo.rocha572@outlook.com,outlook.com,2020-11-08
CLI0015,EM0015,gabriela.rocha979@outlook.com,outlook.com,2025-04-22
CLI0016,EM0103,nicolas.souza449@gmail.com,gmail.com,2021-10-05
CLI0017,EM0008,gabriela.melo848@outlook.com,outlook.com,2021-06-12
CLI0018,EM0018,fernanda.carvalho295@hotmail.com,hotmail.com,2025-09-22
CLI0019,EM0109,helena.rocha265@gmail.com,gmail.com,2024-05-13
CLI0020,EM0109,helena.rocha265@gmail.com,gmail.com,2019-03-09
CLI0021,EM0110,vanessa.lima658@hotmail.com,hotmail.com,2019-09-02
CLI0022,EM0087,otávio.ribeiro604@gmail.com,gmail.com,2024-03-31
CLI0023,EM0023,bruno.barbosa538@uol.com.br,uol.com.br,2022-05-08
CLI0024,EM0126,fernanda.costa980@gmail.com,gmail.com,2020-08-11
