cliente_id,rg_id,numero,desde
CLI0001,RG0001,39749644,2024-02-16
CLI0002,RG0002,24255348,2022-07-08
CLI0003,RG0003,45279042,2022-10-15
CLI0004,RG0004,48561390,2025-11-20
CLI0005,RG0005,78761110,2022-06-15
CLI0006,RG0006,16293447,2025-05-09
CLI0007,RG0007,58885275,2018-04-06
CLI0008,RG0008,53858035,2019-07-23
CLI0009,RG0127,20686342,2021-05-29
CLI0010,RG0010,67210317,2019-09-07
CLI0011,RG0103,60170490,2024-02-26
CLI0012,RG0110,84067785,2020-07-13
CLI0013,RG0013,27667669,2020-06-07
CLI0014,RG0014,80703629,2025-12-29
CLI0015,RG0127,20686342,2025-04-26
CLI0016,RG0103,60170490,2018-11-23
CLI0017,RG0017,99833906,2020-06-27
CLI0018,RG0018,92362416,2018-04-27
CLI0019,RG0109,25826147,2023-03-19
CLI0020,RG0109,25826147,2021-09-02
CLI0021,RG0110,84067785,2022-09-07
CLI0022,RG0022,14535123,2020-11-10
CLI0023,RG0023,79767584,2021-09-16
CLI0024,RG0024,39807813,2021-06-01
CLI0025,RG0127,20686342,2022-08-06
CLI0026,RG0026,39318337,2023-04-25
CLI0027,RG0103,60170490,2022-02-12
CLI0028,RG0028,11089156,2024-01-11
CLI0029,RG0029,37374649,2025-09-25
CLI0030,RG0030,73305233,2023-11-05
CLI0031,RG0031,74435190,2025-09-20
CLI0032,RG0032,28208868,2024-12-06
CLI0033,RG0033,99896917,2025-01-28
CLI0034,RG0034,34380986,2021-01-17
CLI0035,RG0035,38866008,2025-05-22
CLI0036,RG0036,30829470,2025-07-05
CLI0037,RG0037,53883117,2021-12-25
CLI0038,RG0038,32355818,2025-12-23
CLI0039,RG0039,66086286,2020-06-19
CLI0040,RG0040,43169938,2019-04-20
CLI0041,RG0041,25633534,2021-11-15
CLI0042,RG0042,19379467,2020-05-13
CLI0043,RG0043,25101251,2022-07-31
CLI0044,RG0044,30030597,2019-12-25
CLI0045,RG0045,35292050,2023-02-05
CLI0046,RG0046,77573352,2023-05-02
CLI0047,RG0047,79032815,2022-03-19
CLI0048,RG0048,12326935,2019-04-13
CLI0049,RG0127,20686342,2020-10-29
CLI0050,RG0050,87468921,2021-12-12
CLI0051,RG0051,47203031,2024-03-14
CLI0052,RG0052,21092802,2022-09-19
CLI0053,RG0053,94998837,2021-04-29
CLI0054,RG0054,72619658,2020-06-16
CLI0055,RG0055,64048981,2023-10-06
CLI0056,RG0056,28251835,2019-10-25
CLI0057,RG0057,49407965,2019-06-20
CLI0058,RG0058,34003188,2018-09-17
CLI0059,RG0059,23483335,2024-04-26
CLI0060,RG0060,87367064,2025-02-08
CLI0061,RG0103,60170490,2022-04-27
CLI0062,RG0062,38805562,2025-11-21
CLI0063,RG0063,23041676,2022-12-10
CLI0064,RG0064,83778810,2022-01-10
CLI0065,RG0065,13629536,2021-09-15
CLI0066,RG0066,26523927,2020-01-17
CLI0067,RG0067,18094532,2022-09-03
CLI0068,RG0103,60170490,2024-10-01
CLI0069,RG0069,52873862,2018-07-05
CLI0070,RG0070,26736237,2018-06-22
CLI0071,RG0071,66799483,2020-11-17
CLI0072,RG0072,48257905,2025-06-17
CLI0073,RG0073,43702011,2025-10-02
CLI0074,RG0074,25906087,2022-08-04
CLI0075,RG0075,40850070,2024-03-03
CLI0076,RG0076,79293917,2021-10-14
CLI0077,RG0077,24415273,2020-05-26
CLI0078,RG0078,21332672,2019-05-22
CLI0079,RG0079,72001364,2025-12-13
CLI0080,RG0080,81228560,2018-02-25
CLI0081,RG0081,25328450,2022-03-27
CLI0082,RG0082,80883378,2018-02-15
CLI0083,RG0083,13984125,2020-06-10
