cliente_id,telefone_id,numero,ddd,desde
CLI0001,TEL0001,96625-9679,61,2024-01-14
CLI0002,TEL0002,97049-6993,11,2021-10-25
CLI0003,TEL0003,96314-1256,61,2022-07-09
CLI0004,TEL0004,94673-1124,41,2022-12-13
CLI0005,TEL0087,92111-2908,11,2018-09-23
CLI0006,TEL0006,96465-4866,51,2019-03-14
CLI0007,TEL0007,96039-2445,61,2021-04-25
CLI0008,TEL0008,94314-2756,41,2023-11-16
CLI0009,TEL0009,97872-8796,85,2022-06-20
CLI0010,TEL0010,91750-1263,51,2022-03-26
CLI0011,TEL0011,95644-2427,11,2018-05-19
CLI0012,TEL0012,99670-2999,85,2018-10-31
CLI0013,TEL0013,91110-5451,61,2021-07-08
CLI0014,TEL0014,97589-3667,31,2022-04-08
CLI0015,TEL0015,99297-7807,81,2022-11-16
CLI0016,TEL0016,93264-9072,61,2023-07-07
CLI0017,TEL0017,96562-7913,61,2018-10-08
CLI0018,TEL0018,99225-3111,51,2022-08-14
CLI0019,TEL0019,93230-1102,11,2025-12-14
CLI0020,TEL0020,94802-2191,41,2020-10-23
CLI0021,TEL0021,92134-4413,11,2023-08-28
CLI0022,TEL0087,92111-2908,11,2022-08-11
CLI0023,TEL0023,97276-7321,81,2020-07-09
CLI0024,TEL0126,97565-8564,85,2025-08-06
CLI0025,TEL0025,93747-7042,51,2024-07-24
CLI0026,TEL0026,99902-2734,31,2024-11-09
CLI0027,TEL0027,91116-5994,21,2023-01-11
CLI0028,TEL0028,99512-5009,71,2025-06-25
CLI0029,TEL0029,98588-6652,11,2020-08-11
CLI0030,TEL0030,92426-8471,31,2019-05-16
CLI0031,TEL0031,95265-6950,85,2019-11-23
CLI0032,TEL0032,91535-6331,31,2020-10-10
CLI0033,TEL0033,97265-4950,21,2024-03-15
CLI0034,TEL0034,92981-8680,31,2018-02-24
CLI0035,TEL0035,94559-4049,11,2020-01-25
CLI0036,TEL0036,94507-7749,31,2023-05-05
CLI0037,TEL0037,92234-5967,41,2023-01-27
CLI0038,TEL0126,97565-8564,85,2022-04-22
CLI0039,TEL0039,98586-9078,41,2019-03-31
CLI0040,TEL0040,96449-5276,51,2023-03-06
CLI0041,TEL0041,98189-1044,31,2019-06-24
CLI0042,TEL0001,96625-9679,61,2022-11-24
CLI0043,TEL0043,96355-3265,85,2025-05-23
CLI0044,TEL0044,93207-6968,71,2023-12-15
CLI0045,TEL0045,91728-5346,85,2021-10-27
CLI0046,TEL0046,98182-6723,41,2022-03-03
CLI0047,TEL0047,94879-9765,71,2019-07-11
CLI0048,TEL0048,94871-7354,21,2025-04-07
CLI0049,TEL0049,93670-4441,21,2019-10-21
CLI0050,TEL0050,96705-1393,21,2024-03-22
CLI0051,TEL0051,94159-1928,41,2020-12-03
CLI0052,TEL0052,99189-2522,21,2023-05-13
CLI0053,TEL0006,96465-4866,51,2021-03-19
CLI0054,TEL0054,91876-2886,21,2021-03-21
CLI0055,TEL0004,94673-1124,41,2025-02-07
CLI0056,TEL0001,96625-9679,61,2019-05-13
CLI0057,TEL0057,98068-7230,61,2023-09-11
CLI0058,TEL0058,99535-2697,31,2023-01-21
CLI0059,TEL0059,91372-7468,85,2018-09-24
CLI0060,TEL0060,93205-3459,51,2025-07-12
CLI0061,TEL0061,96733-7234,21,2021-10-29
CLI0062,TEL0062,96656-3100,81,2024-02-07
CLI0063,TEL0063,92943-3324,51,2018-10-13
CLI0064,TEL0001,96625-9679,61,2023-06-07
CLI0065,TEL0065,93558-1420,31,2023-12-24
CLI0066,TEL0004,94673-1124,41,2022-01-16
CLI0067,TEL0067,92007-8259,21,2019-03-24
CLI0068,TEL0068,93129-3072,51,2022-05-08
CLI0069,TEL0069,91124-4634,51,2025-01-12
CLI0070,TEL0070,96950-7644,81,2022-07-18
CLI0071,TEL0071,92063-7076,81,2023-12-25
CLI0072,TEL0072,95032-5116,81,2023-03-31
CLI0073,TEL0073,91044-2811,11,2025-01-23
CLI0074,TEL0074,93009-1634,41,2022-01-26
CLI0075,TEL0075,97531-5524,21,2025-05-08
CLI0076,TEL0076,91215-9468,21,2022-01-05
CLI0077,TEL0077,91499-2772,61,2023-06-10
CLI0078,TEL0078,91695-7694,81,2020-02-07
CLI0079,TEL0079,96441-2305,11,2023-05-19
CLI0080,TEL0080,99061-5919,41,2019-06-08
CLI0081,TEL0087,92111-2908,11,2019-06-12
CLI0082,TEL0082,98320-7978,71,2020-08-01
CLI0083,TEL0083,91089-6468,41,2025-08-17
CLI0084,TEL0084,95165-8167,71,2021-12-19
CLI0085,TEL0085,99595-4941,31,2024-10-22
CLI0086,TEL0086,97602-7796,71,2022-11-12
CLI0087,TEL0087,92111-2908,11,2018-08-01
CLI0088,TEL0088,91611-1321,51,2020-07-22
CLI0089,TEL0089,95416-1049,61,2022-05-26
CLI0090,TEL0090,99222-1620,51,2022-03-26
CLI0091,TEL0087,92111-2908,11,2019-01-29
CLI0092,TEL0092,97262-5794,21,2022-11-29
CLI0093,TEL0093,95696-1804,81,2018-05-24
CLI0094,TEL0094,96280-8158,31,2021-08-25
CLI0095,TEL0004,94673-1124,41,2019-12-07
CLI0096,TEL0096,91431-4511,81,2025-01-17
CLI0097,TEL0097,92731-2458,71,2020-07-26
CLI0098,TEL0006,96465-4866,51,2020-10-29
CLI0099,TEL0099,99404-9265,81,2025-09-30
CLI0100,TEL0100,99806-9251,51,2018-12-31
CLI0101,TEL0101,97537-5260,51,2024-06-07
CLI0102,TEL0001,96625-9679,61,2020-09-18
CLI0103,TEL0103,99832-3827,11,2018-10-14
CLI0104,TEL0104,98771-6246,81,2018-01-28
CLI0105,TEL0105,97230-2394,51,2021-08-02
CLI0106,TEL0106,93585-9370,81,2022-11-28
CLI0107,TEL0006,96465-4866,51,2022-03-18
CLI0108,TEL0108,91819-5376,11,2024-01-05
CLI0109,TEL0109,97938-2843,61,2022-02-24
CLI0110,TEL0110,93900-8987,51,2020-09-30
CLI0111,TEL0004,94673-1124,41,2018-12-03
CLI0112,TEL0112,97165-7287,85,2023-10-25
CLI0113,TEL0113,98422-9383,51,2021-01-12
CLI0114,TEL0114,96538-2674,71,2019-07-12
CLI0115,TEL0115,97662-5509,85,2023-01-24
CLI0116,TEL0116,94637-5356,85,2025-09-07
CLI0117,TEL0117,91673-8141,31,2024-07-23
CLI0118,TEL0118,98293-2116,71,2022-12-10
CLI0119,TEL0119,92850-5067,61,2018-11-06
CLI0120,TEL0120,92768-4811,41,2018-12-07
CLI0121,TEL0121,91717-5169,61,2019-01-11
CLI0122,TEL0122,93712-6903,51,2024-01-30
CLI0123,TEL0123,92595-8027,61,2020-08-06
CLI0124,TEL0124,97822-7587,21,2023-04-24
CLI0125,TEL0125,93077-5238,85,2021-01-08
CLI0126,TEL0126,97565-8564,85,2018-07-25
CLI0127,TEL0127,97778-9470,21,2024-01-19
CLI0128,TEL0128,97169-5342,85,2023-06-03
CLI0129,TEL0129,98214-6105,85,2024-05-08
CLI0130,TEL0006,96465-4866,51,2023-08-31
CLI0131,TEL0131,93958-1959,81,2025-10-03
CLI0132,TEL0132,96755-2857,21,2019-11-30
CLI0133,TEL0126,97565-8564,85,2019-03-18
CLI0134,TEL0134,92638-9432,51,2018-04-01
CLI0135,TEL0135,91125-1805,11,2021-03-12
CLI0136,TEL0136,95099-3931,11,2024-10-05
CLI0137,TEL0137,98125-8067,81,2024-10-22
CLI0138,TEL0004,94673-1124,41,2022-01-06
CLI0139,TEL0139,91478-8382,51,2025-04-15
CLI0140,TEL0140,91473-7965,31,2024-12-08
CLI0141,TEL0087,92111-2908,11,2023-02-24
CLI0142,TEL0142,96685-4750,11,2018-02-23
CLI0143,TEL0143,93492-5818,31,2022-10-12
